5.832134000912932379e+02,1.817911828186094226e+03
1.231721968526322541e+01,1.009522464774607329e+03
1.147968333263804652e+02,1.447533788223693136e+03
1.487899633183022843e+03,1.514578573508540785e+03
1.901199295453061495e+03,1.423184083919093155e+03
9.489740026832329249e+02,1.201425971916296703e+03
7.909049661459486060e+02,1.722939512894425889e+03
1.684690939326431817e+03,3.885347536424017676e+02
1.133622494914983236e+03,9.419092520019119092e+02
1.832884131887972899e+03,3.966663576505036417e+02
1.113248352200626641e+03,8.158795200343107581e+02
2.439274424896664684e+00,1.522392897085381264e+03
8.601103058256027225e+02,1.843647478762821947e+03
1.112127420048811473e+03,1.046350051344727717e+03
1.995985643047110443e+03,1.706992717880739974e+03
1.128075003921662471e+02,5.364568414493218143e+02
1.180423727099690723e+03,2.280995077368874746e+01
9.703010142721519742e+02,4.517940173764383189e+02
1.041165704335391183e+03,9.785689502750443580e+02
6.385958782814658434e+02,3.000367434633166397e+01
1.765947523384237002e+03,1.635850338954769541e+03
1.085726007493427460e+03,3.860496697828767765e+02
5.418028016959899560e+02,1.224703272527660758e+00
1.271044826573323462e+03,1.286952684637276434e+03
2.055451030306183497e+02,3.897944688525962533e+02
9.384938854720435302e+02,1.549759085511555440e+03
1.273661933740623908e+03,1.609999925984875517e+03
1.509085209832306873e+03,1.813163856148035848e+03
1.593479885174006540e+03,1.639672999438916804e+03
2.550610152117005498e+02,6.101570644002805466e+02
